time,open,high,low,close,volume
2026-07-21 06:18:00,4037.37,4037.84,4037.29,4037.66,87
2026-07-21 06:19:00,4037.64,4037.83,4036.71,4037.18,71
2026-07-21 06:20:00,4037.2,4038.7,4036.94,4038.24,85
2026-07-21 06:21:00,4038.19,4039.96,4037.68,4037.69,89
2026-07-21 06:22:00,4037.7,4039.3,4037.6,4038.67,81
2026-07-21 06:23:00,4038.63,4039.1,4038.16,4039.1,79
2026-07-21 06:24:00,4039.21,4041.71,4038.99,4041.51,96
2026-07-21 06:25:00,4041.63,4042.43,4041.23,4041.95,93
2026-07-21 06:26:00,4041.84,4048.79,4041.6,4047.43,109
2026-07-21 06:27:00,4047.48,4050.56,4046.02,4046.3,111
2026-07-21 06:28:00,4046.08,4046.64,4044.56,4045.77,98
2026-07-21 06:29:00,4045.92,4048.08,4045.47,4047.28,92
2026-07-21 06:30:00,4047.32,4049.36,4046.88,4048.41,90
2026-07-21 06:31:00,4048.43,4048.43,4045.44,4045.48,85
2026-07-21 06:32:00,4045.07,4045.76,4044.76,4045.27,77
2026-07-21 06:33:00,4044.88,4045.44,4044.64,4044.64,68
2026-07-21 06:34:00,4044.68,4045.05,4044.61,4044.9,72
2026-07-21 06:35:00,4044.72,4044.8,4043.61,4043.82,73
2026-07-21 06:36:00,4043.78,4044.37,4042.81,4043.28,72
2026-07-21 06:37:00,4043.36,4043.81,4042.89,4043.66,73
2026-07-21 06:38:00,4043.63,4045.0,4043.63,4044.32,62
2026-07-21 06:39:00,4044.25,4044.69,4043.86,4044.14,62
2026-07-21 06:40:00,4044.03,4044.24,4043.51,4043.53,54
2026-07-21 06:41:00,4043.54,4043.76,4043.24,4043.37,59
2026-07-21 06:42:00,4043.35,4043.59,4042.61,4042.85,64
2026-07-21 06:43:00,4042.83,4042.83,4041.99,4042.14,52
2026-07-21 06:44:00,4042.03,4042.45,4041.68,4041.7,64
2026-07-21 06:45:00,4041.73,4042.96,4041.73,4042.66,67
2026-07-21 06:46:00,4042.65,4043.54,4042.03,4042.84,61
2026-07-21 06:47:00,4042.52,4043.39,4042.52,4043.03,71
2026-07-21 06:48:00,4043.0,4044.7,4042.91,4044.7,77
2026-07-21 06:49:00,4044.72,4045.41,4044.49,4045.22,69
2026-07-21 06:50:00,4045.24,4046.0,4044.72,4046.0,64
2026-07-21 06:51:00,4046.01,4046.71,4045.05,4046.38,65
2026-07-21 06:52:00,4046.37,4046.45,4045.78,4045.88,53
2026-07-21 06:53:00,4045.91,4046.08,4045.37,4045.37,59
2026-07-21 06:54:00,4045.36,4045.93,4045.31,4045.49,60
2026-07-21 06:55:00,4045.48,4046.92,4045.17,4046.53,76
2026-07-21 06:56:00,4046.52,4046.67,4045.59,4045.79,75
2026-07-21 06:57:00,4045.95,4046.19,4045.67,4046.09,62
2026-07-21 06:58:00,4046.09,4046.78,4046.03,4046.18,72
2026-07-21 06:59:00,4046.19,4047.26,4046.03,4046.77,63
2026-07-21 07:00:00,4046.74,4048.33,4046.74,4047.92,86
2026-07-21 07:01:00,4048.0,4050.0,4047.48,4047.89,84
2026-07-21 07:02:00,4047.87,4048.02,4047.02,4047.55,50
2026-07-21 07:03:00,4047.56,4048.17,4047.09,4047.1,62
2026-07-21 07:04:00,4047.12,4048.13,4047.11,4047.84,65
2026-07-21 07:05:00,4047.83,4049.87,4047.39,4049.54,70
2026-07-21 07:06:00,4049.56,4051.42,4047.6,4047.86,98
2026-07-21 07:07:00,4047.84,4047.84,4046.93,4047.73,64
2026-07-21 07:08:00,4047.78,4048.95,4047.31,4048.45,60
2026-07-21 07:09:00,4048.44,4049.6,4048.41,4048.58,66
2026-07-21 07:10:00,4048.39,4048.39,4045.84,4045.84,79
2026-07-21 07:11:00,4045.88,4046.07,4045.54,4045.77,76
2026-07-21 07:12:00,4045.77,4045.98,4045.69,4045.95,38
2026-07-21 07:13:00,4045.98,4046.66,4045.65,4045.69,59
2026-07-21 07:14:00,4046.02,4046.77,4045.81,4045.81,55
